"PRODUCT_NUMBER","PRODUCT_LANGUAGE","PRODUCT_NAME","PRODUCT_DESCRIPTION"
29110,"EN","Canyon Mule Carryall","This pack has a large capacity, perfect for carrying all your camping gear.  Solid metal zipper and leather bottom."
30110,"EN","Firefly Lite","Lightweight flashlight made from aircraft aluminum. Focusable beam, tail cap push button allows for single-handed operation. Uses two AA batteries, included."
31110,"EN","Firefly Mapreader","Clip-on flashlight for map or book reading. Also comes with flexible fiber optic extension. Lightweight, uses only one AA battery, included."
32110,"EN","Firefly 2","A high quality aluminum flashlight with Krypton bulb.  Uses two D batteries, included."
33110,"EN","Firefly 4","Made of solid plastic construction, adjustable beam (flood to spot), Krypton bulb.  Uses four D batteries, included."
34110,"EN","Firefly Extreme","The Firefly Extreme is under 15 cm long yet produces 7,000 candlepower using two lithium batteries and a Xenon bulb. Shock and water resistant. Weight: 135 g."
35110,"EN","Firefly Multi-light","This light can be used as either a flashlight or as a lamp. Uses two C batteries, included.  Burn time 7-8 hours. Water-resistant."
36110,"EN","EverGlow Single","Light output approximates a 100 W bulb. Single mantle regulated. Porcelain dome. Uses 0.5 liter  propane cylinder (not included)."
37110,"EN","EverGlow Double","Light output approximates a 175 W bulb. Double mantle regulated. Porcelain dome. Uses 0.5 liter propane cylinder (not included)."
38110,"EN","EverGlow Kerosene","One of the most dependable sources of light in an emergency, this lantern is always ready and doesn't need to be recharged. Cotton wick. Height: 30 cm."
39110,"EN","EverGlow Butane","Adjustable brightness control with auto ignition. Safely stores in its own protective case.  Approximate burn time 5 hours on one 0.25 liter butane canister, included."
40110,"EN","EverGlow Lamp","Perfect for in your tent, this lamp comes with a 6V battery.  Complete with shade and hanging hook."
41110,"EN","Flicker Lantern","Simple to use, just requires a candle to be inserted and lit.  Windproof, lasts for hours."
42110,"EN","Husky Rope 50","11 mm diameter standard rope. Length: 50 m.  Weight: 78 g per meter. Impact Force: 7.2 kN. Static Elongation: 7.8%. Number of UIAA Falls: 16."
43110,"EN","Husky Rope 60","11 mm diameter standard rope. Length: 60 m.  Weight: 78 g per meter. Impact Force: 7.2 kN. Static Elongation: 7.8%. Number of UIAA Falls: 16."
44110,"EN","Husky Rope 100","11 mm diameter standard rope. Length: 100 m.  Weight: 78 g per meter. Impact Force: 7.2 kN. Static Elongation: 7.8%. Number of UIAA Falls: 16."
45110,"EN","Husky Rope 200","11 mm diameter standard rope. Length: 200 m.  Weight: 78 g per meter. Impact Force: 7.2 kN. Static Elongation: 7.8%. Number of UIAA Falls: 16."
46110,"EN","Granite Climbing Helmet","This UIAA approved helmet fits adults and kids, suitable for rock and alpine use."
47110,"EN","Husky Harness","One size fits all due to extensive waist belt adjustment and fully adjustable leg loops."
48110,"EN","Husky Harness Extreme","One size fits all. Top of the range fully adjustable technical harness. Ultra high strength belay loop rated in excess of 30kN. Rear haul loop rated to 10kN."
49110,"EN","Granite Signal Mirror","Day or night signal mirror with gridded sighting hole.  6mm laminated glass. Soft carrying case included. Size: 8 x 13 cm. Weight: 400 g."
50110,"EN","Granite Carabiner","Made from 12 mm rod stock aluminum and a radius suitable for almost any rope size. Locks tight with almost any belay/rappel combination. Individually tested."
51110,"EN","Granite Belay","The Granite Belay is an ingenious single rope belay device that uses carabiner movement to brake the rope."
52110,"EN","Granite Pulley","Light, simple and strong, a great all purpose pulley."
53110,"EN","Firefly Climbing Lamp","This climbing lamp is water-resistant. It comes with two bulbs, standard and halogen. Includes one 6V halogen bulb and one 6V standard bulb. Weight: 200g."
54110,"EN","Firefly Charger","Power charger for the Firefly Climbing Lamp. The charger cannot overcharge the Firefly battery, so you can leave it in the charger without worrying."
55110,"EN","Firefly Rechargeable Battery","Rechargeable battery pack for the Firefly Climbing Lamp. Each charge gives 3 hours of light with a halogen bulb and 9 hours with standard bulb. Battery may be recharged up to 1,000 times."
56110,"EN","Granite Chalk Bag","Nylon web bag perfect for holding several sticks of chalk."
57110,"EN","Granite Ice","A general purpose mountaineering axe for snow and glacier travel. Excellent mid-weight axe. Weight: 638 g"
58110,"EN","Granite Hammer","A solid hammer made with a solid hard wood handle and steel head.  Weight: 800g."
59110,"EN","Granite Shovel","Shovel has removable aluminum handle and heat treated aluminum blade."
60110,"EN","Granite Grip","All-purpose stainless steel pliers. Sheath included. Length (closed) 12cm, (open) 16 cm. Weight: 200 g."
61110,"EN","Granite Axe","Camping axe with clear coated wood handle."
62110,"EN","Granite Extreme","The Edge Extreme is a collapsible plier-shaped gadget, three knife blades, file and scissors, perfect for the outdoors.  Carrying case included."
63110,"EN","Mountain Man Analog","Padded leather strap, precision Swiss quartz movement, sweep second hand, 24-hour time ring, luminous hands and markers, hardened mineral crystal."
63130,"EN","Mountain Man Analog","Padded leather strap, precision Swiss quartz movement, sweep second hand, 24-hour time ring, luminous hands and markers, hardened mineral crystal."
63140,"EN","Mountain Man Analog","Padded leather strap, precision Swiss quartz movement, sweep second hand, 24-hour time ring, luminous hands and markers, hardened mineral crystal."
64110,"EN","Mountain Man Digital","Tough rubber strap, digital face, hardened crystal, water-resistant to 50 meters."
65110,"EN","Mountain Man Deluxe","Tough rubber strap, precision Swiss quartz movement, imbedded digital face, luminous hands and markers, hardened mineral crystal, start and stop buttons, water-resistant to 50 meters."
65120,"EN","Mountain Man Deluxe","Tough rubber strap, precision Swiss quartz movement, imbedded digital face, luminous hands and markers, hardened mineral crystal, start and stop buttons, water-resistant to 50 meters."
66110,"EN","Mountain Man Combination","Combination watch, altimeter, compass and barometric gauge.  Heavy duty rubber strap,  hardened mineral crystal."
67110,"EN","Mountain Man Extreme","Solid titanium case, crown, bezel.  Combination nylon and rubber strap. Analog representation on digital interface.  Backlit, hardened mineral crystal, water-resistant to 100 meters."
68110,"EN","Polar Sun","The Polar Sun sunglasses have 3 mm thick lenses, which makes excellent protective eyewear for sport and safety."
68120,"EN","Polar Sun","The Polar Sun sunglasses have 3 mm thick lenses, which makes excellent protective eyewear for sport and safety."
68190,"EN","Polar Sun","The Polar Sun sunglasses have 3 mm thick lenses, which makes excellent protective eyewear for sport and safety."
68200,"EN","Polar Sun","The Polar Sun sunglasses have 3 mm thick lenses, which makes excellent protective eyewear for sport and safety."
68220,"EN","Polar Sun","The Polar Sun sunglasses have 3 mm thick lenses, which makes excellent protective eyewear for sport and safety."
68230,"EN","Polar Sun","The Polar Sun sunglasses have 3 mm thick lenses, which makes excellent protective eyewear for sport and safety."
68240,"EN","Polar Sun","The Polar Sun sunglasses have 3 mm thick lenses, which makes excellent protective eyewear for sport and safety."
68250,"EN","Polar Sun","The Polar Sun sunglasses have 3 mm thick lenses, which makes excellent protective eyewear for sport and safety."
69110,"EN","Polar Ice","Polar Ice sunglasses have polarized lenses to combat glare from snow. Unbreakable nylon frame."
69120,"EN","Polar Ice","Polar Ice sunglasses have polarized lenses to combat glare from snow. Unbreakable nylon frame."
70110,"EN","Polar Sports","Six base classic nylon composite frame sunglasses with wire core temples."
70120,"EN","Polar Sports","Six base classic nylon composite frame sunglasses with wire core temples."
70140,"EN","Polar Sports","Six base classic nylon composite frame sunglasses with wire core temples."
70160,"EN","Polar Sports","Six base classic nylon composite frame sunglasses with wire core temples."
70200,"EN","Polar Sports","Six base classic nylon composite frame sunglasses with wire core temples."
70240,"EN","Polar Sports","Six base classic nylon composite frame sunglasses with wire core temples."
70250,"EN","Polar Sports","Six base classic nylon composite frame sunglasses with wire core temples."
71110,"EN","Polar Wave","Acrylex lenses in the Polar Wave sunglasses absorb up to 90% of visible light, 96% ultraviolet, and 82% infrared light. Unbreakable nylon frames."
72110,"EN","Polar Extreme","Ideal for skiing and winter mountaineering. Frame is durable polyurethane with soft interior foam and adjustable woven elastic band providing an excellent fit. Weight: 139 g."
73110,"EN","Single Edge","Single stainless steel blade folding knife. Length: (closed) 5 cm, (blade) 4.5 cm. Blade thickness 2 mm.  Weight: 90 g."
74110,"EN","Double Edge","Double stainless steel blade folding knife. Length: (closed) 6 cm, (blades) 5.5 cm and 3 cm. Blade thickness: 2 mm. Weight: 110 g."
75110,"EN","Edge Extreme","Multi-purpose pocketknife ruggedly constructed of stainless steel.  Includes 4 different blades, corkscrew, saw, scissors, pliers and more."
76110,"EN","Bear Edge","Knife is 33 cm long with a 20 cm blade made of surgical stainless steel. The handle is laminated wood. The custom made sheath is black leather."
77110,"EN","Bear Survival Edge","Features a 23 cm razor edge blade tempered from a special blend of stainless steel. The hollow handle has a compartment containing survival gear including a compass. Overall length: 36cm."
78110,"EN","Seeker 35","This 7 x 35 model is economical and performs well optically. Fully coated lenses, compact and  lightweight. Rubber covered for secure and comfortable grip. Soft carrying case included."
79110,"EN","Seeker 50","Rubber coated and ergonomically designed. The wide angle of view of 10 x 50 keeps more of your subject in view at high magnification. Soft carrying case included."
80110,"EN","Seeker Extreme","These ergonomic binoculars are light-weight and easy to hold.  Strong construction make them impervious to water, fog and thermal shocks. Soft carrying case included."
81110,"EN","Seeker Mini","This 8 x 22 model is economical and performs well optically. Fully coated lenses, compact and  light-weight. Rubber covered for secure and comfortable grip. Soft carrying case included."
82110,"EN","Glacier Basic","Traditional magnetic compass in a stainless steel casing."
83110,"EN","Glacier Deluxe","Magnetic Compass has a large sighting mirror with v-notch allowing for quick acquisition and accurate bearings to distant landmarks."
84110,"EN","Glacier GPS","Global Positioning System that is small, lightweight, and rugged. Incredibly easy to use, dedicated operation keys, and three user-friendly navigation screens."
85110,"EN","Glacier GPS Extreme","Hand held GPS receiver with color display. Incredibly easy to use, three user-friendly navigation screens, and saves two routes. Up to 20 hours of battery life just on two AA batteries."
86110,"EN","BugShield Natural","Contains no chemicals. Repels mosquitoes, black flies, biting midges, and fleas effectively. Safe for children and environmentally sound.  Active ingredient: Citronella 10%. 100 ml."
87110,"EN","BugShield Spray","Repels black flies, ticks, mosquitoes, chiggers, deer flies and stable flies. Protects against Lyme ticks. Contains 23.75% active ingredient. Clear, odorless formula. 100 ml."
88110,"EN","BugShield Lotion Lite","Repels black flies, ticks, mosquitoes, chiggers, deer flies and stable flies. Contains 8.75% active ingredient for a lighter application. Odorless cream. 100 ml."
89110,"EN","BugShield Lotion","Repels black flies, ticks, mosquitoes, chiggers, deer flies and stable flies. Protects against Lyme ticks. Contains 23.75% active ingredient. Odorless cream. 100 ml."
90110,"EN","BugShield Extreme","Highest amount of the active ingredient, 38%, for up to 10 hours of protection. Repels black flies, ticks, mosquitoes, deer flies and stable flies. Clear, odorless formula. 100 ml."
91110,"EN","Sun Blocker","Sun Blocker is waterproof and lasts up to eight hours. It contains natural skin conditioners and moisturizers, as well as titanium dioxide for the ultimate level of protection."
92110,"EN","Sun Shelter Stick","Easy to apply to your nose, lips, ears and other sensitive areas. Provides long-lasting protection from sun, wind and water to keep your skin soft and moist."
93110,"EN","Sun Shelter 15","SPF 15 protects against all harmful rays."
94110,"EN","Sun Shelter 30","SPF 30 provides maximum protection and is long-lasting."
95110,"EN","Sun Shield","PABA free sunscreen, SPF 30, poison oak and ivy protectant, waterproof, insect repellent against fleas, mosquitoes, deer ticks, gnats.  Moisturizer contains Vitamin E and Lanolin."
96110,"EN","Compact Relief Kit","A personal first aid kit is recommended for every outdoor hiker or camper. Contains basic wound management, advanced infectious control, and more. Size: 17 x 10 x 7 cm. Weight: 0.3 kg."
97110,"EN","Deluxe Family Relief Kit","A complete medical kit suitable for families with children.  Contains cough syrup, oral rehydration salts, advanced wound management, and more.  Size: 22 x 12 x 7 cm. Weight: 0.6 kg."
98110,"EN","Calamine Relief","Use the Calamine Relief for allergic skin reactions, helps combat itching and swelling."
99110,"EN","Aloe Relief","Perfect for minor burns and sunburn, the aloe vera provides quick relief."
100110,"EN","Insect Bite Relief","The Insect Bite Relief helps the itching and swelling caused by most insect bites."
101110,"EN","Hailstorm Steel Irons","Iron is 17-4 stainless steel.  Shafts are graphite with a frequency matched throughout the set. Includes 3 iron to Pitching Wedge."
102110,"EN","Hailstorm Titanium Irons","Made entirely of pure titanium. The ultimate in golf club technology. Lightweight graphite shaft and light overall weight. Includes 3 iron to Pitching Wedge."
103110,"EN","Lady Hailstorm Steel Irons","Iron is 17-4 stainless steel.  Shafts are graphite with a frequency matched throughout the set. Includes 3 iron to Pitching Wedge."
104110,"EN","Lady Hailstorm Titanium Irons","Made entirely of pure titanium. A wider sole and loft system to help you get the ball airborne with less effort. Includes 3 iron to Pitching Wedge."
105110,"EN","Hailstorm Titanium Woods Set","Crafted of 6-4 titanium which is 40% lighter and 20% stronger than 17-4 steel.  Includes 3 Wood, 5 Wood and 12 degree driver."
106110,"EN","Hailstorm Steel Woods Set","These steel woods are manufactured to exact tolerances to ensure maximum transfer of energy between the club head and the golf ball. Includes 3 Wood, 5 Wood and 12 degree driver."
107110,"EN","Lady Hailstorm Titanium Woods Set","Crafted of 6-4 titanium which is 40% lighter and 20% stronger than 17-4 steel. Includes 3 Wood, 5 Wood and 12 degree driver."
108110,"EN","Lady Hailstorm Steel Woods Set","These steel woods are manufactured to exact tolerances to ensure maximum transfer of energy between the club head and the golf ball. Includes 3 Wood, 5 Wood and 12 degree driver."
109110,"EN","Course Pro Putter","High quality putter is cast  from a soft yellow brass alloy to give the putter its uniquely soft feel at impact."
110110,"EN","Blue Steel Putter","This premium putter has copper mixed with lightweight aluminum for a smooth touch."
111110,"EN","Blue Steel Max Putter","Putter head is composed from a single piece of the softest carbon steel for optimum feel."
112110,"EN","Course Pro Golf and Tee Set","Set includes two premium golf ball and an assortment of wooden golf tees."
113110,"EN","Course Pro Umbrella","Large red and white patterned golf umbrella."
114110,"EN","Course Pro Golf Bag","High quality golf bag that includes carrying strap and large front pocket."
115110,"EN","Course Pro Gloves","Durable nylon constructed gloves with stitched leather palm."
122110,"EN","Bella","The Bella collection bonds the famous functionality factor with dynamic styling and luminous color."
122120,"EN","Bella","The Bella collection bonds the famous functionality factor with dynamic styling and luminous color."
122130,"EN","Bella","The Bella collection bonds the famous functionality factor with dynamic styling and luminous color."
122140,"EN","Bella","The Bella collection bonds the famous functionality factor with dynamic styling and luminous color."
122150,"EN","Bella","The Bella collection bonds the famous functionality factor with dynamic styling and luminous color."
123110,"EN","Capri","Capri sunglasses are a style icon. Lenses incorporate sun-activated tinting and anti-glare coatings for consistent focus."
123120,"EN","Capri","Capri sunglasses are a style icon. Lenses incorporate sun-activated tinting and anti-glare coatings for consistent focus."
123130,"EN","Capri","Capri sunglasses are a style icon. Lenses incorporate sun-activated tinting and anti-glare coatings for consistent focus."
123140,"EN","Capri","Capri sunglasses are a style icon. Lenses incorporate sun-activated tinting and anti-glare coatings for consistent focus."
123150,"EN","Capri","Capri sunglasses are a style icon. Lenses incorporate sun-activated tinting and anti-glare coatings for consistent focus."
123160,"EN","Capri","Capri sunglasses are a style icon. Lenses incorporate sun-activated tinting and anti-glare coatings for consistent focus."
124110,"EN","Cat Eye","Cat Eye sunglasses are made with a vibrant, high-density plastic. Lenses are scratch resistant."
124120,"EN","Cat Eye","Cat Eye sunglasses are made with a vibrant, high-density plastic. Lenses are scratch resistant."
124130,"EN","Cat Eye","Cat Eye sunglasses are made with a vibrant, high-density plastic. Lenses are scratch resistant."
124140,"EN","Cat Eye","Cat Eye sunglasses are made with a vibrant, high-density plastic. Lenses are scratch resistant."
124150,"EN","Cat Eye","Cat Eye sunglasses are made with a vibrant, high-density plastic. Lenses are scratch resistant."
124160,"EN","Cat Eye","Cat Eye sunglasses are made with a vibrant, high-density plastic. Lenses are scratch resistant."
124170,"EN","Cat Eye","Cat Eye sunglasses are made with a vibrant, high-density plastic. Lenses are scratch resistant."
124180,"EN","Cat Eye","Cat Eye sunglasses are made with a vibrant, high-density plastic. Lenses are scratch resistant."
124190,"EN","Cat Eye","Cat Eye sunglasses are made with a vibrant, high-density plastic. Lenses are scratch resistant."
125110,"EN","Venue","The Venue has a fun and fashionable oversized watch face, with a bright colored synthetic leather strap."
125120,"EN","Venue","The Venue has a fun and fashionable oversized watch face, with a bright colored synthetic leather strap."
125130,"EN","Venue","The Venue has a fun and fashionable oversized watch face, with a bright colored synthetic leather strap."
125140,"EN","Venue","The Venue has a fun and fashionable oversized watch face, with a bright colored synthetic leather strap."
125150,"EN","Venue","The Venue has a fun and fashionable oversized watch face, with a bright colored synthetic leather strap."
125160,"EN","Venue","The Venue has a fun and fashionable oversized watch face, with a bright colored synthetic leather strap."
125170,"EN","Venue","The Venue has a fun and fashionable oversized watch face, with a bright colored synthetic leather strap."
126110,"EN","Dante","Dante sunglasses have polarized antiglare lenses.  The frames come in a range of brilliant colors."
126120,"EN","Dante","Dante sunglasses have polarized antiglare lenses.  The frames come in a range of brilliant colors."
126130,"EN","Dante","Dante sunglasses have polarized antiglare lenses.  The frames come in a range of brilliant colors."
126140,"EN","Dante","Dante sunglasses have polarized antiglare lenses.  The frames come in a range of brilliant colors."
126150,"EN","Dante","Dante sunglasses have polarized antiglare lenses.  The frames come in a range of brilliant colors."
127110,"EN","Fairway","Fairway sunglasses offer complete ultraviolet protection and have a patented soft-frame construction for perfect comfort and fit.  "
127120,"EN","Fairway","Fairway sunglasses offer complete ultraviolet protection and have a patented soft-frame construction for perfect comfort and fit.  "
127130,"EN","Fairway","Fairway sunglasses offer complete ultraviolet protection and have a patented soft-frame construction for perfect comfort and fit.  "
127140,"EN","Fairway","Fairway sunglasses offer complete ultraviolet protection and have a patented soft-frame construction for perfect comfort and fit.  "
127150,"EN","Fairway","Fairway sunglasses offer complete ultraviolet protection and have a patented soft-frame construction for perfect comfort and fit.  "
128110,"EN","Inferno","Inferno sunglasses have polarized, antiglare lenses and fiberglass frames. They come with a 5 year warranty."
128120,"EN","Inferno","Inferno sunglasses have polarized, antiglare lenses and fiberglass frames. They come with a 5 year warranty."
128130,"EN","Inferno","Inferno sunglasses have polarized, antiglare lenses and fiberglass frames. They come with a 5 year warranty."
128140,"EN","Inferno","Inferno sunglasses have polarized, antiglare lenses and fiberglass frames. They come with a 5 year warranty."
128150,"EN","Inferno","Inferno sunglasses have polarized, antiglare lenses and fiberglass frames. They come with a 5 year warranty."
128160,"EN","Inferno","Inferno sunglasses have polarized, antiglare lenses and fiberglass frames. They come with a 5 year warranty."
128170,"EN","Inferno","Inferno sunglasses have polarized, antiglare lenses and fiberglass frames. They come with a 5 year warranty."
128180,"EN","Inferno","Inferno sunglasses have polarized, antiglare lenses and fiberglass frames. They come with a 5 year warranty."
128190,"EN","Inferno","Inferno sunglasses have polarized, antiglare lenses and fiberglass frames. They come with a 5 year warranty."
128200,"EN","Inferno","Inferno sunglasses have polarized, antiglare lenses and fiberglass frames. They come with a 5 year warranty."
128210,"EN","Inferno","Inferno sunglasses have polarized, antiglare lenses and fiberglass frames. They come with a 5 year warranty."
129110,"EN","Infinity","The Infinity offers the highest quality Swiss movement and comes with a life-time warranty."
129120,"EN","Infinity","The Infinity offers the highest quality Swiss movement and comes with a life-time warranty."
129130,"EN","Infinity","The Infinity offers the highest quality Swiss movement and comes with a life-time warranty."
129140,"EN","Infinity","The Infinity offers the highest quality Swiss movement and comes with a life-time warranty."
129150,"EN","Infinity","The Infinity offers the highest quality Swiss movement and comes with a life-time warranty."
129160,"EN","Infinity","The Infinity offers the highest quality Swiss movement and comes with a life-time warranty."
129170,"EN","Infinity","The Infinity offers the highest quality Swiss movement and comes with a life-time warranty."
129180,"EN","Infinity","The Infinity offers the highest quality Swiss movement and comes with a life-time warranty."
130110,"EN","Lux","The Lux watch is a precision Swiss quartz movement. It comes with a 10 year warranty.  "
130120,"EN","Lux","The Lux watch is a precision Swiss quartz movement. It comes with a 10 year warranty.  "
130130,"EN","Lux","The Lux watch is a precision Swiss quartz movement. It comes with a 10 year warranty.  "
130140,"EN","Lux","The Lux watch is a precision Swiss quartz movement. It comes with a 10 year warranty.  "
130150,"EN","Lux","The Lux watch is a precision Swiss quartz movement. It comes with a 10 year warranty.  "
131110,"EN","Max Gizmo","A versatile pocket tool that includes LED light, 1GB memory stick, pen, serrated blade, corkscrew and serrated cutter. Comes with a life time warranty."
131120,"EN","Max Gizmo","A versatile pocket tool that includes LED light, 1GB memory stick, pen, serrated blade, corkscrew and serrated cutter. Comes with a life time warranty."
131130,"EN","Max Gizmo","A versatile pocket tool that includes LED light, 1GB memory stick, pen, serrated blade, corkscrew and serrated cutter. Comes with a life time warranty."
132110,"EN","Maximus","Maximus sunglasses are the most durable eyewear on the market. They come with a 5-year unconditional warranty."
132120,"EN","Maximus","Maximus sunglasses are the most durable eyewear on the market. They come with a 5-year unconditional warranty."
132130,"EN","Maximus","Maximus sunglasses are the most durable eyewear on the market. They come with a 5-year unconditional warranty."
132140,"EN","Maximus","Maximus sunglasses are the most durable eyewear on the market. They come with a 5-year unconditional warranty."
132150,"EN","Maximus","Maximus sunglasses are the most durable eyewear on the market. They come with a 5-year unconditional warranty."
132160,"EN","Maximus","Maximus sunglasses are the most durable eyewear on the market. They come with a 5-year unconditional warranty."
132170,"EN","Maximus","Maximus sunglasses are the most durable eyewear on the market. They come with a 5-year unconditional warranty."
133110,"EN","Opera Vision","3.6x opera glasses maintain image and color fidelity in all lighting conditions. The brushed aluminum body fits snugly into any purse or pocket. Includes a soft leather case and carrying loop."
134110,"EN","Pocket Gizmo","A compact tool that includes LED light, blade, tweezers, reamer, screwdriver, file, corkscrew and can opener."
134120,"EN","Pocket Gizmo","A compact tool that includes LED light, blade, tweezers, reamer, screwdriver, file, corkscrew and can opener."
134130,"EN","Pocket Gizmo","A compact tool that includes LED light, blade, tweezers, reamer, screwdriver, file, corkscrew and can opener."
134140,"EN","Pocket Gizmo","A compact tool that includes LED light, blade, tweezers, reamer, screwdriver, file, corkscrew and can opener."
135110,"EN","Ranger Vision","8x27x50 zoom binoculars include compass and range-finding reticle, multi-coated optics, and textured rubber armoring. Waterproof and lightweight."
135120,"EN","Ranger Vision","8x27x50 zoom binoculars include compass and range-finding reticle, multi-coated optics, and textured rubber armoring. Waterproof and lightweight."
135130,"EN","Ranger Vision","8x27x50 zoom binoculars include compass and range-finding reticle, multi-coated optics, and textured rubber armoring. Waterproof and lightweight."
136110,"EN","Sam","The Sam watch has a sophisticated quartz movement, and both analog and digital time display.  Comes with a 5 year warranty.  "
136120,"EN","Sam","The Sam watch has a sophisticated quartz movement, and both analog and digital time display.  Comes with a 5 year warranty.  "
136130,"EN","Sam","The Sam watch has a sophisticated quartz movement, and both analog and digital time display.  Comes with a 5 year warranty.  "
136140,"EN","Sam","The Sam watch has a sophisticated quartz movement, and both analog and digital time display.  Comes with a 5 year warranty.  "
136150,"EN","Sam","The Sam watch has a sophisticated quartz movement, and both analog and digital time display.  Comes with a 5 year warranty.  "
140110,"EN","Trail Master","A rubberized and water-resistant GPS receiver that includes a 70mm color screen, electronic compass and altimeter. Uses a 64MB memory card. Requires two AA batteries for 18 hours of service. Weighs 238 grams."
141110,"EN","Trail Scout","This highly portable GPS has an 80mm color screen. Requires two AA batteries for 18 hours of service. Uses a 22MB memory card. Weighs 210 grams."
142110,"EN","Trail Star","A light-weight GPS receiver with a 56mm monochrome display and 24MB internal memory. Requires two AA batteries for 26 hours of service. Weighs only 156 grams."
143110,"EN","Trendi","Trendi sunglasses feature a sporty, stylish, wrap-around design. Soft rocker nose pads and rubberized temple ends provide the ultimate in comfort."
143120,"EN","Trendi","Trendi sunglasses feature a sporty, stylish, wrap-around design. Soft rocker nose pads and rubberized temple ends provide the ultimate in comfort."
